text,polyline,mileage_m
1,"619387.502,3402659.824;619382.496,3402657.197;619385.851,3402650.802;619390.857,3402653.428;619387.502,3402659.824",58996.137
3,"619156.275,3402517.460;619153.534,3402522.927;619140.990,3402516.635;619141.280,3402516.059;619134.154,3402512.511;619134.610,3402511.603;619127.352,3402507.961;619137.860,3402487.023;619140.335,3402488.266;619137.791,3402493.334;619138.796,3402493.827;619135.203,3402500.811;619139.593,3402503.030;619139.230,3402503.747;619142.916,3402505.619;619143.396,3402504.669;619146.240,3402506.173;619144.639,3402509.291;619146.839,3402510.384;619145.925,3402512.244;619148.620,3402513.562;619149.108,3402512.555;619154.798,3402515.310;619154.235,3402516.473;619156.275,3402517.460",59280.102
4,"619135.203,3402500.811;619139.100,3402493.236;619145.402,3402496.479;619145.950,3402495.410;619150.364,3402497.682;619146.058,3402506.042;619143.396,3402504.669;619142.916,3402505.619;619139.230,3402503.747;619139.593,3402503.030;619135.203,3402500.811",59283.499
5,"619102.291,3402479.988;619097.042,3402489.031;619109.628,3402496.275;619114.014,3402496.802;619119.302,3402499.274;619120.952,3402496.724;619118.703,3402495.516;619122.932,3402487.971;619118.655,3402486.123;619121.911,3402480.483;619116.898,3402477.858;619112.663,3402485.636;619102.291,3402479.988",59313.859
6,"619093.155,3402465.697;619089.520,3402463.948;619081.511,3402479.469;619088.741,3402483.165;619087.771,3402484.626;619095.075,3402488.656;619098.670,3402481.904;619093.839,3402479.523;619095.294,3402476.571;619089.261,3402473.611;619093.155,3402465.697",59339.99
7,"619098.670,3402481.904;619104.019,3402471.048;619093.155,3402465.697;619089.261,3402473.611;619095.294,3402476.571;619093.839,3402479.523;619098.670,3402481.904",59337.388
8,"619076.861,3402458.045;619073.070,3402455.940;619065.756,3402470.442;619073.264,3402474.257;619074.252,3402477.882;619077.771,3402479.846;619082.665,3402470.309;619073.150,3402465.669;619076.861,3402458.045",59358.847
9,"619056.105,3402457.930;619052.579,3402465.087;619063.429,3402470.430;619066.953,3402463.266;619056.105,3402457.930",59374.318
10,"619053.324,3402460.055;619058.888,3402448.811;619050.950,3402444.883;619045.387,3402456.127;619053.324,3402460.055",59387.539
11,"619053.324,3402460.055;619058.888,3402448.811;619050.950,3402444.883;619045.387,3402456.127;619053.324,3402460.055",59388.353
15,"618991.812,3402494.014;618997.305,3402486.204;619004.262,3402491.117;619002.598,3402493.471;619004.902,3402495.103;619000.988,3402500.578;618991.812,3402494.014",59414.667
16,"618996.224,3402507.564;619000.988,3402500.578;618991.812,3402494.014;618988.463,3402492.186;618984.298,3402497.945;618983.355,3402499.131;618996.224,3402507.564",59420.641
17,"618978.841,3402494.217;618982.869,3402488.304;618988.463,3402492.186;618984.298,3402497.945;618978.841,3402494.217",59429.518
18,"618979.159,3402485.730;618984.656,3402477.807;618993.961,3402484.264;618988.463,3402492.186;618979.159,3402485.730",59430.704
19,"618969.245,3402487.648;618978.249,3402474.328;618984.292,3402478.332;618979.159,3402485.730;618975.100,3402491.606;618969.245,3402487.648",59435.079
